2024-05-25 22:23:51,507.data_sender.INFO ==================================================
2024-05-25 22:23:51,507.data_sender.INFO Today is 2024-05-25 at 10:23 PM
2024-05-25 22:23:51,507.data_sender.INFO Running on: nt Windows 10
2024-05-25 22:23:51,507.data_sender.INFO Python version:  3.11.7
2024-05-25 22:23:51,508.data_sender.INFO Python path: C:\Users\lucim\anaconda3
2024-05-25 22:23:51,508.data_sender.INFO Working dir: C:\Users\lucim\Streaming Data\streaming-04-bonus-LuciMcDaniel
2024-05-25 22:23:51,508.data_sender.INFO ==================================================
2024-05-25 22:23:53,437.data_sender.INFO  [x] Sent index,TITLE,RELEASE_YEAR,SCORE,MAIN_GENRE,MAIN_PRODUCTION
2024-05-25 22:23:53,438.data_sender.INFO  [x] Sent 0,White Christmas,1954,7.5,romance,US
2024-05-25 22:23:53,438.data_sender.INFO  [x] Sent 1,The Guns of Navarone,1961,7.5,war,US
2024-05-25 22:23:53,439.data_sender.INFO  [x] Sent 2,My Fair Lady,1964,7.8,drama,US
2024-05-25 22:23:53,440.data_sender.INFO  [x] Sent 3,Bonnie and Clyde,1967,7.7,drama,US
2024-05-25 22:23:53,440.data_sender.INFO  [x] Sent 4,Dirty Harry,1971,7.7,thriller,US
2024-05-25 22:23:53,441.data_sender.INFO  [x] Sent 5,The Exorcist,1973,8.1,horror,US
2024-05-25 22:23:53,441.data_sender.INFO  [x] Sent 6,Monty Python and the Holy Grail,1975,8.2,comedy,GB
2024-05-25 22:23:53,442.data_sender.INFO  [x] Sent 7,Taxi Driver,1976,8.3,crime,US
2024-05-25 22:23:53,443.data_sender.INFO  [x] Sent 8,Life of Brian,1979,8,comedy,GB
2024-05-25 22:23:53,444.data_sender.INFO  [x] Sent 9,The Blue Lagoon,1980,5.8,romance,US
2024-05-25 22:23:53,445.data_sender.INFO  [x] Sent 10,Annie,1982,6.6,drama,US
2024-05-25 22:23:53,446.data_sender.INFO  [x] Sent 11,Christine,1983,6.7,horror,US
2024-05-25 22:23:53,446.data_sender.INFO  [x] Sent 12,Once Upon a Time in America,1984,8.3,drama,US
2024-05-25 22:23:53,448.data_sender.INFO  [x] Sent 13,Stand by Me,1986,8.1,drama,US
2024-05-25 22:23:53,449.data_sender.INFO  [x] Sent 14,Full Metal Jacket,1987,8.3,drama,GB
2024-05-25 22:23:53,450.data_sender.INFO  [x] Sent 15,When Harry Met Sally...,1989,7.7,romance,US
2024-05-25 22:23:53,452.data_sender.INFO  [x] Sent 16,Awakenings,1990,7.8,drama,US
2024-05-25 22:23:53,454.data_sender.INFO  [x] Sent 17,My Girl,1991,6.9,comedy,US
2024-05-25 22:23:53,455.data_sender.INFO  [x] Sent 18,A River Runs Through It,1992,7.2,drama,US
2024-05-25 22:23:53,455.data_sender.INFO  [x] Sent 19,Menace II Society,1993,7.5,drama,US
2024-05-25 22:23:53,456.data_sender.INFO  [x] Sent 20,Forrest Gump,1994,8.8,drama,US
2024-05-25 22:23:53,456.data_sender.INFO  [x] Sent 21,Desperado,1995,7.1,thriller,US
2024-05-25 22:23:53,456.data_sender.INFO  [x] Sent 22,Happy Gilmore,1996,7,comedy,US
